osmo,hours,days,temp,ph,batch
50.047,0.09,0.297,26.3,0.0046,batch1
50.026,2.64,0.643,32.9,0.3267,batch2
50.046,11.5,1.757,-25.9,0.6165,batch3
50.064,15.29,3.396,-33.4,0.8363,batch4
49.962,17.66,5.178,-36.9,0.9739,batch5
50.037,27.01,7.752,-14.1,1.0003,batch6
50.014,29.86,10.806,46.8,0.9163,batch7
50.048,32.98,14.161,46.3,0.7355,batch8
49.858,41.25,18.835,27.3,0.4768,batch9
50.052,42.63,22.617,45.7,0.1634,batch10
50.09,49.22,27.811,-5.8,-0.1603,batch11
50.142,55.69,33.248,-35.8,-0.4778,batch12
50.042,59.21,39.211,-24.4,-0.732,batch13
49.886,67.3,45.651,17.4,-0.9165,batch14
50.018,71,52.852,-42.7,-0.9996,batch15
50.025,77.42,60.239,10.8,-0.968,batch16
50.044,81.65,68.123,-4.2,-0.8394,batch17
49.939,86.02,76.715,11.2,-0.6179,batch18
50.088,90.88,85.652,-40.2,-0.326,batch19
50.088,93.78,95.155,-3.3,0.0035,batch20
